shopName,productName,price,oldPrice,discount,weight,zip,available,details,ingredients,productLink,image,nutration,photos,retrive_date
Sprouts Farmers Market,Sprouts Organic Vitamin D Milk,$6.49 ,N/A,N/A,128 fl oz,94105,N/A,,"Ingredients: Organic Grade A Milk, Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_1828219412,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ebe0f294-f60d-4ea7-ac24-dc62e614f294.png,N/A,N/A,24:07.6
Sprouts Farmers Market,Sprouts Organic 1% Low Fat Milk,$6.49 ,N/A,N/A,128 fl oz,94105,N/A,,"Ingredients: Organic Grade A Low Fat Milk,  Organic Nonfat Milk, Vitamin A Palmitate,  Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_1808753271,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9ad6295c-5122-4f64-a6a4-c6bf5c53b25b.png,N/A,N/A,24:34.1
Sprouts Farmers Market,Sprouts Organic 2% Reduced Fat Milk,$6.49 ,N/A,N/A,128 fl oz,94105,N/A,,"Ingredients: Organic Grade A Reduced Fat Milk, Organic Nonfat Milk, Vitamin A Palmitate, , Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_1828224492,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7a0c41bb-226a-4f17-a673-f45c742d427f.png,N/A,N/A,24:56.4
Sprouts Farmers Market,Sprouts 2% Milk,$4.99 ,N/A,N/A,128 fl oz,94105,N/A,,"Ingredients: Reduced Fat Milk, Skim Milk,  Vitamin A Palmitate, Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_159248296,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6eb6d8e9-539b-48f0-951d-cef1990ded7b.png,N/A,N/A,25:56.4
Sprouts Farmers Market,Horizon Organic Organic Aseptic Whole Milk 6 Pack Case,$8.99 ,$11.99 ,25% off,8 fl oz,94105,N/A,"Take the organic goodness of Horizon milk on-the-go with Horizon Organic Whole Milk Boxes. Great as a lunchbox stuffer or snack, these single-serve milk boxes offer a wholesome alternative to juice boxes. Each organic milk box provides many nutrients, including vitamin A, vitamin D, and 8 grams of protein. And thanks to their special packaging, these shelf-stable milk boxes lock in delicious taste without refrigeration. • Whole milk in single-serve boxes • Shelf stable • Certified USDA Organic • NON-GMO • Provides calcium and vitamins A and D","Grade A Organic Milk, Vitamin D3.",https://www.instacart.comhttps://www.instacart.com/store/items/item_1391086921,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7a788906-331a-41cc-98cc-64e243ae8ab7.png,"Nutrition Facts , Serving Size ,   , 236.00 mL , Servings Per Container ,   , 1 , Amount Per Serving , Calories ,  150 , % Daily Value , Total Fat ,  8g , 12% , daily value , Total Fat , Saturated Fat 5g , 25% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  35mg , 12% , daily value , Sodium ,  130mg , 5% , daily value , Total Carbohydrate ,  13g , 4% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 12g , Protein ,  8g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,26:26.0
Sprouts Farmers Market,Straus Family Creamery  Organic Whole Milk Gallon,$8.99 ,$9.49 ,5% off,3.78 L,94105,N/A,"Straus Family Creamery Whole Cream Top Milk Is A USDA Organic Certified Beverage. Certified Kosher-dairy, This Grade A, Non-homogenized Milk Comes In A 1 Gallon Jug. It Is Both Non-GMO And Pasteurized. Every Serving Of Our Product Contains 8 G. Of Protein, 6% Of The Daily Value Of Vitamin A And No Trans Fat.",Ingredients: Pasteurized Organic Milk.,https://www.instacart.comhttps://www.instacart.com/store/items/item_155531394,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1a02da98-8376-4065-8779-ebac4ac653c1.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , 16 , Amount Per Serving , Calories ,  160 , % Daily Value , Total Fat ,  9g , 14% , daily value , Total Fat , Saturated Fat 7g , 35% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  45mg , 15% , daily value , Sodium ,  75mg , 3% , daily value , Total Carbohydrate ,  11g , 4% , daily value , Total Carbohydrate , Dietary Fiber 0g , 0% , daily value , Total Carbohydrate , Sugars 11g , Protein ,  9g , Percent Daily Values are based on a 2,000 calorie diet.",N/A,26:38.5
Smart & Final,"Chobani Oatmilk, Extra Creamy",$5.79 ,N/A,N/A,52 fl oz,Delivery to 94105,N/A,"Plant-based oat milk. Drink it. Mix it. Pour it. Stir it. Oats good for you - and the planet. Grown with less water: Oats require less water to grow than almonds. Improves soil health: Oats are a cover crop, enriching the soil where they grow and protecting it from erosion. Diversifies Our Diets: While agricultural production is primarily corn, rice, and wheat, oats bring a welcome diversity to our diet. Creamy Like Milk: Oats give a rich and creamy texture like dairy milk - without the dairy. Packaged sustainably: Chobani oat is packaged in a recyclable Sustainable Forestry Initiative – certified pulp carton. SFI: Certified Chain of Custody. Promoting sustainable forestry. www.sfiprogram.org.","Oat Blend (water, Whole Grain Oats), Rapeseed Oil, Contains 2% Or Less Of: Sea Salt, Vitamin A Palmitate, Vitamin D2 (yeast Extract), Calcium Carbonate, Gellan Gum, Tricalcium Phosphate, Dipotassium Phosphate.",https://www.instacart.comhttps://www.instacart.com/store/items/item_3353117200,https://www.instacart.com/assets/domains/product-image/file/large_1c9717aa-1e6d-440c-abeb-8dbd7589f1e5.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , About 6 , Amount Per Serving , Calories ,  140 , % Daily Value , Total Fat ,  8g , 12% , daily value , Total Fat , Saturated Fat 1g , 5% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  0mg , 0% , daily value , Sodium ,  105mg , 4% , daily value , Total Carbohydrate ,  13g , 4% , daily value , Total Carbohydrate , Dietary Fiber 2g , 8% , daily value , Total Carbohydrate , Sugars 7g , Protein ,  2g , Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_1c9717aa-1e6d-440c-abeb-8dbd7589f1e5.png', 'https://www.instacart.com/assets/domains/product-image/file/large_ce6ec9ba-3d1e-4fd4-bcbc-d09ed81bd147.png']",27:39.0
Smart & Final,"Chobani Oatmilk, Original",$5.79 ,N/A,N/A,52 fl oz,Delivery to 94105,N/A,"Plant based oat milk. Drink it. Mix it. Pour it. Stir it. Oats good for you - and the planet. Grown with Less Water: Oats require less water to grow than almonds. Improves Soil Health: Oats are a cover crop, enriching the soil where they grow and protecting it from erosion. Diversifies Our Diets: While agricultural production is primarily corn, rice, and wheat, oats bring a welcome diversity to our diet. Creamy Like Milk: Oats give a rich and creamy texture like dairy milk - without the dairy. Packaged sustainably: Chobani Oat is packaged in a recyclable Sustainable Forestry Initiative - certified pulp carton. SFI: Certified Chain of Custody. Promoting sustainable forestry. www.sfiprogram.org.","Oat Blend (water, Whole Grain Oats), Contains 2% Or Less Of: Rapeseed Oil, Sea Salt, Vitamin A Palmitate, Vitamin D2 (yeast Extract), Calcium Carbonate, Gellan Gum, Tricalcium Phosphate, Dipotassium Phosphate.",https://www.instacart.comhttps://www.instacart.com/store/items/item_3353115982,https://www.instacart.com/assets/domains/product-image/file/large_183bac80-6899-49bb-aede-d00f14f74b21.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , About 6 , Amount Per Serving , Calories ,  110 , % Daily Value , Total Fat ,  5g , 8% , daily value , Total Fat , Saturated Fat 0.5g , 3% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  0mg , 0% , daily value , Sodium ,  105mg , 4% , daily value , Total Carbohydrate ,  13g , 4% , daily value , Total Carbohydrate , Dietary Fiber 2g , 8% , daily value , Total Carbohydrate , Sugars 7g , Protein ,  2g , Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_183bac80-6899-49bb-aede-d00f14f74b21.png', 'https://www.instacart.com/assets/domains/product-image/file/large_5f3e0f34-b81b-41b3-b14b-19c14ebcb985.png']",27:52.9
Smart & Final,"Chobani Oatmilk, Vanilla",$5.79 ,N/A,N/A,52 fl oz,Delivery to 94105,N/A,"Plant-based. Oat milk. Drink it. Mix it. Pour it. Stir it. Oats good for you - and the planet. Grown with Less Water: Oats require less water to grow than almonds. Improves Soil Health: Oats are a cover crop, enriching the soil where they grow and protecting it from erosion. Diversifies Our Diets: While agricultural production is primarily corn, rice, and wheat, oats bring a welcome diversity to our diet. Creamy Like Milk: Oats give a rich and creamy texture like dairy milk - without the dairy. Packaged sustainably: Chobani oat is packaged in a recyclable Sustainable Forestry Initiative – certified pulp carton. SFI: Certified Chain of Custody. Promoting sustainable forestry. www.sfiprogram.org.","Oat Blend (water, Whole Grain Oats), Contains 2% Or Less Of: Rapeseed Oil, Cane Sugar, Vanilla Extract, Natural Flavors, Sea Salt, Vitamin A Palmitate, Vitamin D2 (yeast Extract), Calcium Carbonate, Gellan Gum, Tricalcium Phosphate, Dipotassium Phosphate.",https://www.instacart.comhttps://www.instacart.com/store/items/item_3373538959,https://www.instacart.com/assets/domains/product-image/file/large_b9a5c0c9-b64b-49f8-af5e-ae6a002cbfaf.png,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , About 6 , Amount Per Serving , Calories ,  120 , % Daily Value , Total Fat ,  5g , 8% , daily value , Total Fat , Saturated Fat 0.5g , 3% , daily value , Total Fat , Trans Fat 0g , Cholesterol ,  0mg , 0% , daily value , Sodium ,  105mg , 4% , daily value , Total Carbohydrate ,  15g , 5% , daily value , Total Carbohydrate , Dietary Fiber 2g , 8% , daily value , Total Carbohydrate , Sugars 9g , Protein ,  2g , Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_b9a5c0c9-b64b-49f8-af5e-ae6a002cbfaf.png', 'https://www.instacart.com/assets/domains/product-image/file/large_c59b5443-abb3-4456-97cd-e7bd741cf7ec.png']",29:14.1
Smart & Final,Silk Original Soy Milk,$6.69 ,N/A,N/A,64 fl oz,Delivery to 94105,N/A,"Treat yourself to the tasty goodness of Silk Original Soymilk. Made with whole-harvested soybeans, this plain Soymilk offers rich, creamy taste in every delectable drop and makes a perfect non-dairy alternative to milk. Experiment with a splash of Soymilk over your cereal, or simply enjoy it straight-up in a glass. You can swap Silk for milk cup-for-cup in nearly any recipe--from creamy soups to tempting desserts. Silk Soymilk is totally free of dairy, lactose, carrageenan, gluten, casein, egg, peanut, and MSG. It’s a powerhouse of nutritional goodness, too: each serving provides calcium and heart-healthy protein.* *In a diet low in saturated fat and cholesterol, 25 grams of soy protein per day may reduce the risk of heart disease. A serving of Silk Original Soymilk has 8 grams. • Soymilk with original flavor • Low in saturated fat, with no cholesterol • Provides protein and calcium • Vegan • Non-GMO Project Verified • Free of dairy, lactose, carrageenan, gluten, casein, egg, peanut, and MSG","Soymilk (filtered Water, Soybeans), Cane Sugar, Vitamin And Mineral Blend (tricalcium Phosphate, Calcium Carbonate, Vitamin A Palmitate, Vitamin D2, Riboflavin [b2], Vitamin B12), Sea Salt, Natural Flavor, Gellan Gum.",https://www.instacart.comhttps://www.instacart.com/store/items/item_12422477,https://www.instacart.com/assets/domains/product-image/file/large_88f3e8d9-93cd-4dde-b130-5a5ef419e79a.jpg,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , About 16 , Amount Per Serving , Calories ,  110 , % Daily Value , Total Fat ,  4.5g , 7% , daily value , Total Fat , Saturated Fat 0.5g , 3% , daily value , Total Fat , Trans Fat 0g , Total Fat , Polyunsaturated Fat 2.5g , Total Fat , Monounsaturated Fat 1g , Cholesterol ,  0mg , 0% , daily value , Sodium ,  90mg , 4% , daily value , Total Carbohydrate ,  9g , 3% , daily value , Total Carbohydrate , Dietary Fiber 2g , 8% , daily value , Total Carbohydrate , Sugars 6g , Protein ,  8g , Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_88f3e8d9-93cd-4dde-b130-5a5ef419e79a.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_52da1792-747d-4117-b298-032a5ad93da1.jpg']",29:57.1
Smart & Final,Silk Organic Unsweetened Soy Milk,$3.59 ,$4.19 ,14% off,64 fl oz,Delivery to 94105,N/A,"Treat yourself to the tasty goodness of Silk Organic Unsweetened Soymilk. Made with whole-harvested soybeans and featuring absolutely no added sugar, this Certified Organic Soymilk offers rich, creamy taste in every delectable drop and makes a perfect non-dairy alternative to milk. Experiment with a splash of Soymilk over your cereal, or simply enjoy it straight-up in a glass. You can swap Silk for milk cup-for-cup in nearly any recipe--from creamy soups to tempting desserts. Silk Organic Unsweetened Soymilk is totally free of dairy, lactose, carrageenan, gluten, casein, egg, peanut, and MSG. It’s a powerhouse of nutritional goodness, too: each serving provides calcium and heart-healthy protein.* *In a diet low in saturated fat and cholesterol, 25 grams of soy protein per day may reduce the risk of heart disease. A serving of Silk Organic Unsweetened Soymilk has 7 grams. • Unsweetened organic Soymilk • Low in saturated fat, with no cholesterol or added sugar • Provides protein and calcium • Vegan • Non-GMO Project Verified • Free of dairy, lactose, carrageenan, gluten, casein, egg, peanut, and MSG","Organic Soymilk (filtered Water, Organic Soybeans), Vitamin And Mineral Blend (calcium Carbonate, Vitamin A Palmitate, Vitamin D2, Riboflavin [b2], Vitamin B12), Sea Salt, Gellan Gum, Ascorbic Acid (to Protect Freshness), Natural Flavor.",https://www.instacart.comhttps://www.instacart.com/store/items/item_12420667,https://www.instacart.com/assets/domains/product-image/file/large_72aa2bdc-9f65-4d62-8f19-e15af76d0c0a.jpg,"Nutrition Facts , Serving Size ,   , 1.00 cup , Servings Per Container ,   , About 8 , Amount Per Serving , Calories ,  80 , % Daily Value , Total Fat ,  4g , 6% , daily value , Total Fat , Saturated Fat 0.5g , 3% , daily value , Total Fat , Trans Fat 0g , Total Fat , Polyunsaturated Fat 2.5g , Total Fat , Monounsaturated Fat 1g , Cholesterol ,  0mg , 0% , daily value , Sodium ,  75mg , 3% , daily value , Total Carbohydrate ,  3g , 1% , daily value , Total Carbohydrate , Dietary Fiber 2g , 8% , daily value , Total Carbohydrate , Sugars 1g , Protein ,  7g , Percent Daily Values are based on a 2,000 calorie diet.","['https://www.instacart.com/assets/domains/product-image/file/large_72aa2bdc-9f65-4d62-8f19-e15af76d0c0a.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_1fc192c0-cf5d-4ced-8c8a-8742e7156969.jpg']",30:26.9
